author,content,description,photo_url,pub_date,source,title,url,combined_text,tokens,lems,keywords
Kris Holt,"Some Snapchat users are having problems with the app this morning, with several noting on Twitter that they're unable to send snaps. The company acknowledged the outage and said it was looking into t… [+1052 chars]","Some Snapchat users are having problems with the app this morning, with several noting on Twitter that they're unable to send snaps. The company acknowledged the outage and said it was looking into the matter. We’re aware that some Snapchatters are having iss…",https://s.yimg.com/os/creatr-images/2019-06/1be1c810-982e-11e9-bdd0-b68b2199f048,2021-10-13,Engadget,Snapchat is down,https://www.engadget.com/snapchat-down-error-outage-snaps-142107269.html,snapchat is down some snapchat users are having problems with the app this morning with several noting on twitter that they are unable to send snaps the company acknowledged the outage and said it was looking into t  chars,"['snapchat', 'snapchat', 'users', 'problems', 'app', 'morning', 'several', 'noting', 'twitter', 'unable', 'send', 'snaps', 'company', 'acknowledged', 'outage', 'said', 'looking', 'chars']",snapchat user problem app morning several noting twitter unable send snap company acknowledged outage said looking char,"['snapchat', 'users', 'problems', 'app', 'morning', 'several', 'noting', 'twitter', 'unable', 'send', 'snaps', 'company', 'acknowledged', 'outage', 'said', 'looking', 'chars']"
Igor Bonifacic,"If you can't access Facebook, Instagram, Messenger or WhatsApp, you're not the only one. Starting at approximately 11:38AM ET, Downdetector began logging a spike in outage reports across all four Fac… [+508 chars]","If you can't access Facebook, Instagram, Messenger or WhatsApp, you're not the only one. Starting at approximately 11:38AM ET, Downdetector began logging a spike in outage reports across all four Facebook-owned services. Andy Stone, a spokesperson for the com…",https://s.yimg.com/os/creatr-uploaded-images/2021-10/a3928f90-252d-11ec-9eb7-d7e722c7c04e,2021-10-04,Engadget,"Facebook is down, along with Instagram, WhatsApp and Messenger",https://www.engadget.com/facebook-instagram-whatsapp-messenger-down-161653706.html,facebook is down along with instagram whatsapp and messenger if you cannot access facebook instagram messenger or whatsapp you are not the only one starting at approximately  am et downdetector began logging a spike in outage reports across all four fac  chars,"['facebook', 'along', 'instagram', 'whatsapp', 'messenger', 'cannot', 'access', 'facebook', 'instagram', 'messenger', 'whatsapp', 'one', 'starting', 'approximately', 'et', 'downdetector', 'began', 'logging', 'spike', 'outage', 'reports', 'across', 'four', 'fac', 'chars']",facebook along instagram whatsapp messenger cannot access one starting approximately et downdetector began logging spike outage report across four fac char,"['facebook', 'along', 'instagram', 'whatsapp', 'messenger', 'cannot', 'access', 'one', 'starting', 'approximately', 'et', 'downdetector', 'began', 'logging', 'spike', 'outage', 'reports', 'across', 'four', 'fac', 'chars']"
Jon Fingas,"Facebook is about to close an important chapter in its history. CNBCreports the social network's chief technology officer, Mike Schroepfer, is stepping down from his role after a total 13 years at th… [+229 chars]","Facebook is about to close an important chapter in its history. CNBCreports the social network's chief technology officer, Mike Schroepfer, is stepping down from his role after a total 13 years at the company. He'll move to a part-time position as Facebook's …",https://s.yimg.com/os/creatr-uploaded-images/2021-09/d1c03c60-1be5-11ec-b1b5-2c26965a1640,2021-09-22,Engadget,Facebook's chief technology officer is leaving the company after 13 years,https://www.engadget.com/facebook-cto-steps-down-2022-205051710.html,facebook is chief technology officer is leaving the company after  years facebook is about to close an important chapter in its history cnbcreports the social network is chief technology officer mike schroepfer is stepping down from his role after a total  years at th  chars,"['facebook', 'chief', 'technology', 'officer', 'leaving', 'company', 'years', 'facebook', 'close', 'important', 'chapter', 'history', 'cnbcreports', 'social', 'network', 'chief', 'technology', 'officer', 'mike', 'schroepfer', 'stepping', 'role', 'total', 'years', 'th', 'chars']",facebook chief technology officer leaving company year close important chapter history cnbcreports social network mike schroepfer stepping role total th char,"['facebook', 'chief', 'technology', 'officer', 'leaving', 'company', 'years', 'close', 'important', 'chapter', 'history', 'cnbcreports', 'social', 'network', 'mike', 'schroepfer', 'stepping', 'role', 'total', 'th', 'chars']"
Igor Bonifacic,"Following Mondays massive service outage that took out all of its services, Facebook has published a blog post detailing what happened yesterday. According to Santosh Janardhan, the company's vice pr… [+2180 chars]","Following Monday’s massive service outage that took out all of its services, Facebook has published a blog post detailing what happened yesterday. According to Santosh Janardhan, the company's vice president of infrastructure, the outage started with what sho…",https://s.yimg.com/os/creatr-uploaded-images/2021-10/edc78c20-2611-11ec-bde6-5fb47d3ad17d,2021-10-05,Engadget,Facebook explains how its October 4th outage started,https://www.engadget.com/facebook-outage-explainer-193155776.html,facebook explains how its october th outage started following mondays massive service outage that took out all of its services facebook has published a blog post detailing what happened yesterday according to santosh janardhan the company is vice pr  chars,"['facebook', 'explains', 'october', 'th', 'outage', 'started', 'following', 'mondays', 'massive', 'service', 'outage', 'took', 'services', 'facebook', 'published', 'blog', 'post', 'detailing', 'happened', 'yesterday', 'according', 'santosh', 'janardhan', 'company', 'vice', 'pr', 'chars']",facebook explains october th outage started following monday massive service took service published blog post detailing happened yesterday according santosh janardhan company vice pr char,"['facebook', 'explains', 'october', 'th', 'outage', 'started', 'following', 'mondays', 'massive', 'service', 'took', 'services', 'published', 'blog', 'post', 'detailing', 'happened', 'yesterday', 'according', 'santosh', 'janardhan', 'company', 'vice', 'pr', 'chars']"
Kris Holt,"Facebook
 will soon let folks who still have an Oculus Go
 do so much more with the virtual reality headset. The company will release an unlocked build of the operating system, which users can side… [+1093 chars]","Facebook
 will soon let folks who still have an Oculus Go
 do so much more with the virtual reality headset. The company will release an unlocked build of the operating system, which users can sideload to get full root access and do just about anything they…",https://s.yimg.com/os/creatr-uploaded-images/2021-09/d9fd7e60-1fa0-11ec-adfd-6f77ed529075,2021-09-27,Engadget,Facebook will open up the Oculus Go to tinkerers with an unlocked OS,https://www.engadget.com/facebook-oculus-go-operating-system-unlock-john-carmack-151000709.html,facebook will open up the oculus go to tinkerers with an unlocked os facebook will soon let folks who still have an oculus go do so much more with the virtual reality headset the company will release an unlocked build of the operating system which users can side  chars,"['facebook', 'open', 'oculus', 'go', 'tinkerers', 'unlocked', 'os', 'facebook', 'soon', 'let', 'folks', 'still', 'oculus', 'go', 'much', 'virtual', 'reality', 'headset', 'company', 'release', 'unlocked', 'build', 'operating', 'system', 'users', 'side', 'chars']",facebook open oculus go tinkerer unlocked o soon let folk still much virtual reality headset company release build operating system user side char,"['facebook', 'open', 'oculus', 'go', 'tinkerers', 'unlocked', 'os', 'soon', 'let', 'folks', 'still', 'much', 'virtual', 'reality', 'headset', 'company', 'release', 'build', 'operating', 'system', 'users', 'side', 'chars']"
Mat Smith,"Welcome to Monday. How was your weekend? For me, a rainy October England doing what it does kept me indoors, but fortunately, there was a crop of shows I was planning to watch anyhow.
While I caught… [+4061 chars]","Welcome to Monday. How was your weekend? For me, a rainy October — England doing what it does — kept me indoors, but fortunately, there was a crop of shows I was planning to watch anyhow.While I caught up on the cultural phenomenon that is Squid Games, a lot …",https://s.yimg.com/os/creatr-uploaded-images/2021-09/ed46e740-0b32-11ec-b3c3-f063a90b0ede,2021-10-04,Engadget,The Morning After: What is it with Netflix cropping ‘Seinfeld’?,https://www.engadget.com/the-morning-after-what-is-it-with-netflix-cropping-seinfeld-111546404.html,the morning after what is it with netflix cropping seinfeld welcome to monday how was your weekend for me a rainy october england doing what it does kept me indoors but fortunately there was a crop of shows i was planning to watch anyhow while i caught  chars,"['morning', 'netflix', 'cropping', 'seinfeld', 'welcome', 'monday', 'weekend', 'rainy', 'october', 'england', 'kept', 'indoors', 'fortunately', 'crop', 'shows', 'planning', 'watch', 'anyhow', 'caught', 'chars']",morning netflix cropping seinfeld welcome monday weekend rainy october england kept indoors fortunately crop show planning watch anyhow caught char,"['morning', 'netflix', 'cropping', 'seinfeld', 'welcome', 'monday', 'weekend', 'rainy', 'october', 'england', 'kept', 'indoors', 'fortunately', 'crop', 'shows', 'planning', 'watch', 'anyhow', 'caught', 'chars']"
Mariella Moon,"2Africa, a subsea cable project funded by Facebook and several telcos, will become the longest subsea cable system ever deployed by the time it's finished. The social network has announced that the c… [+1663 chars]","2Africa, a subsea cable project funded by Facebook and several telcos, will become the longest subsea cable system ever deployed by the time it's finished. The social network has announced that the consortium of companies behind the initiative has decided to …",https://s.yimg.com/os/creatr-uploaded-images/2021-09/eb911c70-2024-11ec-bb63-97c6c5bf26de,2021-09-28,Engadget,Facebook's 2Africa to become the longest subsea cable in the world,https://www.engadget.com/facebook-2-africa-longest-subsea-cable-in-the-world-070058568.html,facebook is africa to become the longest subsea cable in the world africa a subsea cable project funded by facebook and several telcos will become the longest subsea cable system ever deployed by the time it is finished the social network has announced that the c  chars,"['facebook', 'africa', 'become', 'longest', 'subsea', 'cable', 'world', 'africa', 'subsea', 'cable', 'project', 'funded', 'facebook', 'several', 'telcos', 'become', 'longest', 'subsea', 'cable', 'system', 'ever', 'deployed', 'time', 'finished', 'social', 'network', 'announced', 'c', 'chars']",facebook africa become longest subsea cable world project funded several telco system ever deployed time finished social network announced c char,"['facebook', 'africa', 'become', 'longest', 'subsea', 'cable', 'world', 'project', 'funded', 'several', 'telcos', 'system', 'ever', 'deployed', 'time', 'finished', 'social', 'network', 'announced', 'c', 'chars']"
Mat Smith,"Well get into why Facebook saw its entire business fall off a cliff on Monday, but first: e-readers.
Its a device category we dont see much development in probably because its very much a device for… [+4167 chars]","We’ll get into why Facebook saw its entire business fall off a cliff on Monday, but first: e-readers.It’s a device category we don’t see much development in — probably because it’s very much a device for reading text and not much else. Amazon’s Kindle, thanks…",https://s.yimg.com/os/creatr-uploaded-images/2020-09/cd47aaf0-fea0-11ea-8add-97a3fe3113dc,2021-10-06,Engadget,"The Morning After: Facebook's October 4th outage, explained",https://www.engadget.com/the-morning-after-facebooks-october-4th-outage-explained-111508085.html,the morning after facebook is october th outage explained well get into why facebook saw its entire business fall off a cliff on monday but first e readers its a device category we dont see much development in probably because its very much a device for  chars,"['morning', 'facebook', 'october', 'th', 'outage', 'explained', 'well', 'get', 'facebook', 'saw', 'entire', 'business', 'fall', 'cliff', 'monday', 'first', 'e', 'readers', 'device', 'category', 'dont', 'see', 'much', 'development', 'probably', 'much', 'device', 'chars']",morning facebook october th outage explained well get saw entire business fall cliff monday first e reader device category dont see much development probably char,"['morning', 'facebook', 'october', 'th', 'outage', 'explained', 'well', 'get', 'saw', 'entire', 'business', 'fall', 'cliff', 'monday', 'first', 'e', 'readers', 'device', 'category', 'dont', 'see', 'much', 'development', 'probably', 'chars']"
Arielle Pardes,"The return of tech conferences began not with a bang, but a whisper. It was the first day of Code Conference, and Kara Swisherone of the most prominent voices in technology criticismhad lost her voic… [+3389 chars]",Hundreds of (vaccinated) attendees gathered in a Beverly Hills hotel ballroom as Code Conference returned after a year-long hiatus.,"https://media.wired.com/photos/615607db296d418a189405fa/191:100/w_1280,c_limit/Business-Code-Conference-Kara-Swisher-Elon-Musk.jpg",2021-10-01,Wired,"With Fist Bumps and Nasal Swabs, Tech Conferences Are Back",https://www.wired.com/story/fist-bumps-nasal-swabs-tech-conferences-are-back/,with fist bumps and nasal swabs tech conferences are back the return of tech conferences began not with a bang but a whisper it was the first day of code conference and kara swisherone of the most prominent voices in technology criticismhad lost her voic  chars,"['fist', 'bumps', 'nasal', 'swabs', 'tech', 'conferences', 'back', 'return', 'tech', 'conferences', 'began', 'bang', 'whisper', 'first', 'day', 'code', 'conference', 'kara', 'swisherone', 'prominent', 'voices', 'technology', 'criticismhad', 'lost', 'voic', 'chars']",fist bump nasal swab tech conference back return began bang whisper first day code conference kara swisherone prominent voice technology criticismhad lost voic char,"['fist', 'bumps', 'nasal', 'swabs', 'tech', 'conferences', 'back', 'return', 'began', 'bang', 'whisper', 'first', 'day', 'code', 'conference', 'kara', 'swisherone', 'prominent', 'voices', 'technology', 'criticismhad', 'lost', 'voic', 'chars']"
Noah Giansiracusa,"In public, Facebook seems to claim that it removes more than 90 percent of hate speech on its platform, but in private internal communications the company says the figure is only an atrocious 3 to 5 … [+4694 chars]","The company publicly claims its AI is amazing at removing harmful content, but internal documents suggest they know the algorithm is ineffective.","https://media.wired.com/photos/6168c9b0c12c627f3a2ccc05/191:100/w_1280,c_limit/Facebook-Lying.jpg",2021-10-15,Wired,How Facebook Hides How Terrible It Is With Hate Speech,https://www.wired.com/story/facebooks-deceptive-math-when-it-comes-to-hate-speech/,how facebook hides how terrible it is with hate speech in public facebook seems to claim that it removes more than  percent of hate speech on its platform but in private internal communications the company says the figure is only an atrocious  to   chars,"['facebook', 'hides', 'terrible', 'hate', 'speech', 'public', 'facebook', 'seems', 'claim', 'removes', 'percent', 'hate', 'speech', 'platform', 'private', 'internal', 'communications', 'company', 'says', 'figure', 'atrocious', 'chars']",facebook hide terrible hate speech public seems claim remove percent platform private internal communication company say figure atrocious char,"['facebook', 'hides', 'terrible', 'hate', 'speech', 'public', 'seems', 'claim', 'removes', 'percent', 'platform', 'private', 'internal', 'communications', 'company', 'says', 'figure', 'atrocious', 'chars']"
